,frequency
Man,0.10798085615432874
Woman,0.10805447946534305
Pregnant,0.02004093456092396
Stroller,0.018362323069797577
OldMan,0.059630643003688304
OldWoman,0.059702481507162876
Boy,0.04961831890762639
Girl,0.049760880409863206
Homeless,0.045444546475942135
LargeWoman,0.049902549508330146
LargeMan,0.04967744065738031
Criminal,0.018367900593359267
MaleExecutive,0.037004637822392016
FemaleExecutive,0.036939046145306534
FemaleAthlete,0.05968240242234079
MaleAthlete,0.05942650564133043
FemaleDoctor,0.03137624724581887
MaleDoctor,0.031302400833862085
Dog,0.053815740039212225
Cat,0.05390966553599109
