,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.,weight
doctors,0,"[0, 1]",0.12586588756420528,0.12586588756420528,0.11082418359172518,9717,3638,0.7275926619243729,0.8435861590961314
utilitarian,1,"[0, 1]",0.21653079496724942,0.21653079496724942,0.1872956034117148,17302,5673,0.7530794341675735,0.8582008115829755
utilitarian_anthro,2,"[0, 1]",0.3664106309787475,0.3664106309787475,0.31216248056170776,29944,8934,0.770204228612583,0.8480531006958366
action,3,[1],1.0,0.9999905753734508,0.8471514066255125,57440,48665,0.5413505489844965,0.5421561222190846
pedestrians,4,"[0, 1]",0.5491541397672117,0.5491541397672117,0.5326139201734131,30802,27466,0.5286263472231757,0.6074431092387012
females,5,"[0, 1]",0.5209179586258894,0.5209179586258894,0.4338061354318835,37583,17689,0.6799645390070922,0.7123725979084947
fitness,6,"[0, 1]",0.3234437585410678,0.3234437585410678,0.27774374440412797,18543,15776,0.5403129461814156,0.5799084694956439
status,7,"[0, 1]",0.17820083879176288,0.17820083879176288,0.151783610574431,12741,6167,0.6738417601015443,0.7854958360492418
legal,8,"[0, 1]",0.7866264549267236,0.7866264549267236,0.7148013759954762,46718,36747,0.5597316240340262,0.5860148021761427
illegal,9,"[0, 1]",0.5491541397672117,0.5491541397672117,0.5326139201734131,28947,29321,0.4967906912885289,0.5894205452344101
youth,10,"[0, 1]",0.2768107063757599,0.2768107063757599,0.25367324819754017,22759,6612,0.774879983657349,0.7233046801459025
elderly,11,"[0, 1]",0.2563498421375053,0.2563498421375053,0.23602092267093916,12130,15070,0.44595588235294115,0.6518787593240752
criminals,12,"[0, 1]",0.005456858771971161,0.005456858771971161,0.005051599830356722,425,154,0.7340241796200345,0.7449281432646182
homeless,13,"[0, 1]",0.09009942981009378,0.09009942981009378,0.07150464162857546,6025,3535,0.6302301255230125,0.6290943992317861
pets,14,"[0, 1]",0.1617925639696527,0.1617925639696527,0.13498892606380472,13620,3547,0.793382652764024,0.9288684482625235
spare_strollers,15,"[0, 1]",0.05814052118184817,0.05814052118184817,0.05063851844870647,4745,1424,0.7691684227589561,0.9607454619622782
spare_pregnant,16,"[0, 1]",0.06838509024079921,0.06838509024079921,0.060911361387305026,5404,1852,0.7447629547960308,0.8596870450054354
